OTU,S110_L001,S111_L001,S112_L001,S113_L001,S114_L001,S115_L001,S116_L001,S117_L001,S118_L001,S119_L001,S120_L001,S121_L001,S122_L001
cc27a703f5e722dc9c7bc5c8ca5e3880c7d1536d,0,0,4,5,0,10,11,6,3,3,1,0,2
d5bec5316babe5d6180a247fe22d50b97ad9f391,0,0,2,4,4,9,9,4,4,1,1,7,0
edfc819686532bbb7de1f9557d9951210a45f35d,0,0,3,7,0,11,12,5,1,2,2,2,0
0c0e95597b4edad9a191ea69386954afb771aacd,0,0,0,6,0,9,4,8,4,8,0,4,1
1ab58a6bdbbf1485cc0457f29d83881bd0bd78e7,0,0,4,5,0,12,4,2,2,10,0,2,3
29c2e190ac4d32f7293d1b4ca2dfe4305f1daab3,0,1,1,4,0,14,8,2,0,2,4,3,5
2e9305ba99a3cf9354833c1c315b36a4041c44ae,0,0,1,2,0,11,6,8,2,4,1,4,5
8d4f82f126ae69a05928487ad0c1d568c8f0cac1,0,0,4,4,0,12,6,6,0,7,1,3,1
8fcd772ecdd33c458693b47e12ff8ae3fb915860,1,0,4,1,0,17,4,3,1,6,2,1,4
b2b93cd73d461cc37cd68974d7ffcbed0a81f679,0,0,3,5,0,16,7,4,1,6,0,0,2
bfe1ad5717303d058895fa6bca844e8ef90fee63,0,0,2,6,1,6,2,9,1,4,3,4,6
d38342e0ff75e65c7ed348b69542825e8e88aa04,0,0,8,3,0,12,4,7,2,4,2,0,2
d67396c4c550689ddcb5bdbbd6192551242984ad,0,1,2,3,0,11,8,7,0,1,2,5,4
f0dda6eba61c8aa36ec27ae92a5deb53f8d79c36,0,0,2,2,0,9,11,10,3,1,1,3,2
1c319672a7ab84e243d997af2cebb381e2d27d11,0,0,1,4,2,9,5,10,3,3,2,3,1
1e34a939e2a2af0b3116563e9d9b96f6f884d0dd,0,0,0,3,1,12,8,6,2,5,0,3,3
21e64cd2f48cfab947c36b5dbc57b75ff45cc03e,0,0,3,5,3,15,1,7,2,2,0,3,2
547b984b9ea113f2b6540eb582811a3fe1e0cd2b,0,0,2,1,0,17,8,9,1,3,0,2,0
5885773bdfd22eb2e4130d3406b21c229a989d96,0,2,1,3,0,13,4,5,4,2,2,4,3
a05ac11e37b992f85d5d56a7a0e4c353ea9be1c4,0,0,4,7,2,5,6,8,4,2,1,1,3
d3b3fbeb5ded3a814ef0b81dc3ed89d41b453821,0,0,3,3,0,9,6,8,2,6,3,0,3
f14cd30abbd4c7f078d8c1adcc64434663d12a8d,0,0,5,4,0,8,9,6,1,4,0,4,2
f9c93824058bffe22fa4460df52546285b83947d,0,0,3,4,1,18,6,7,0,1,1,0,2
20c9f8ad09bb735be0d72ec809d48d4801e638d9,0,0,4,2,0,17,4,6,1,2,4,0,2
216a9e8c4ac587d6ce8562aec70cba76f31ecfef,0,0,8,4,1,8,4,9,1,3,2,1,1
2b63b4e88bf2af04be7d56bc7c764199230c8247,0,0,0,6,0,15,6,8,1,2,1,1,2
399f4a2c2dabf042e61ee62fa5821b6f5eb452f2,0,0,2,5,0,17,4,6,2,3,0,3,0
3bdb1c821f9187f4895ea3c92016a1eaa69fc357,0,0,3,3,2,9,7,6,1,2,2,1,6
778d6caf1b48a2f02b7c36e80bd5197bdcb1224b,0,0,2,2,1,12,8,5,3,8,1,0,0
