OTU,NEF_AtlasMXB_B01_2025,NEF_AtlasMXB_B02_2025,NEF_AtlasMXB_B03_2025,NEF_AtlasMXB_B04_2025,NEF_AtlasMXB_B05_2025,NEF_AtlasMXB_B06_2025,NEF_AtlasMXB_B07_2025,NEF_AtlasMXB_B08_2025,NEF_AtlasMXB_B09_2025,NEF_AtlasMXB_B10_2025,NEF_AtlasMXB_B11_2025,NEF_AtlasMXB_B12_2025,NEF_AtlasMXB_B13_2025,NEF_AtlasMXB_B14_2025,NEF_AtlasMXB_B15_2025,NEF_AtlasMXB_B16_2025,NEF_AtlasMXB_B17_2025,NEF_AtlasMXB_B18_2025,NEF_AtlasMXB_B19_2025,NEF_AtlasMXB_B20_2025,NEF_AtlasMXB_B21_2025,NEF_AtlasMXB_B22_2025,NEF_AtlasMXB_B23_2025,NEF_AtlasMXB_B24_2025,NEF_AtlasMXB_B33_2025,NEF_AtlasMXB_B34_2025,NEF_AtlasMXB_B35_2025,NEF_AtlasMXB_B39_2025,NEF_AtlasMXB_B40_2025,NEF_AtlasMXB_B41_2025,NEF_AtlasMXB_B42_2025,NEF_AtlasMXB_B43_2025,NEF_AtlasMXB_B44_2025,NEF_AtlasMXB_B45_2025,NEF_AtlasMXB_B46_2025,NEF_AtlasMXB_B47_2025,NEF_AtlasMXB_B48_2025,NEF_AtlasMXB_B49_2025,NEF_AtlasMXB_B50_2025,NEF_AtlasMXB_B51_2025,NEF_AtlasMXB_B52_2025,NEF_AtlasMXB_B53_2025,NEF_AtlasMXB_B54_2025,NEF_AtlasMXB_B55_2025,NEF_AtlasMXB_B56_2025,NEF_AtlasMXB_B57_2025,NEF_AtlasMXB_B58_2025,NEF_AtlasMXB_B59_2025,NEF_AtlasMXB_B60_2025,NEF_AtlasMXB_B61_2025,NEF_AtlasMXB_B62_2025,NEF_AtlasMXB_B63_2025,NEF_AtlasMXB_B64_2025,NEF_AtlasMXB_B65_2025,NEF_AtlasMXB_B66_2025,NEF_AtlasMXB_B67_2025,NEF_AtlasMXB_B68_2025,NEF_AtlasMXB_B69_2025,NEF_AtlasMXB_B70_2025,NEF_AtlasMXB_B71_2025,NEF_AtlasMXB_B72_2025,NEF_AtlasMXB_B73_2025,NEF_AtlasMXB_B74_2025,NEF_AtlasMXB_B75_2025,NEF_AtlasMXB_B76_2025,NEF_AtlasMXB_B77_2025,NEF_AtlasMXB_B78_2025,NEF_AtlasMXB_B79_2025,NEF_AtlasMXB_B80_2025,NEF_AtlasMXB_B81_2025,NEF_AtlasMXB_B82_2025,NEF_AtlasMXB_B83_2025,NEF_AtlasMXB_B84_2025,NEF_AtlasMXB_B85_2025,NEF_AtlasMXB_B86_2025,NEF_AtlasMXB_B87_2025,NEF_AtlasMXB_B88_2025
Geminibasidium_1,0,0,338,0,0,195,445,1118,1758,9073,15,3293,4390,2935,0,0,155,0,4,2200,0,66,154,32,37,1784,0,1701,0,22,0,300,144,812,33,900,282,358,156,274,90,70,0,0,2410,5,5897,655,6,0,696,19,0,0,0,127,0,355,0,272,37,4,0,0,0,11,704,0,0,0,0,2,0,0,2,0,0
Penicillium_3,0,8,17,0,0,0,0,0,0,0,0,0,0,0,68,0,0,4240,18171,16228,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,26,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Humicola_grisea_1,0,598,748,352,729,21,146,39,3,86,67,20,123,66,86,78,611,209,248,229,172,580,301,143,296,1160,1149,97,4292,1515,1737,3440,919,480,250,122,173,469,547,574,1366,1363,0,465,540,1000,105,135,669,64,114,116,323,806,223,896,864,215,916,3198,1900,187,11,14,95,178,282,87,15,4,70,128,10,0,69,0,94
Fusarium_1,0,0,0,33,0,163,19,714,652,538,6,944,469,411,0,4,359,13,217,198,149,935,0,0,0,1,1649,9,1440,0,0,0,0,15,0,0,50,0,190,0,0,3,946,420,0,0,0,10,0,1071,1708,563,906,439,94,595,2419,622,2398,16,91,1115,256,129,2098,2511,907,1058,1458,1406,492,1479,1103,545,2075,591,324
Clavulina_1,0,9386,1148,17639,10242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladosporium_1,0,0,10,1,46,69,164,671,252,145,24,450,524,70,0,2,298,22,94,62,39,2485,23,0,51,1088,2858,179,673,83,31,658,178,37,228,22,69,50,695,158,438,151,266,558,367,190,430,352,15,198,1147,309,1037,90,420,890,1737,759,326,507,1882,1025,150,51,48,1451,1519,1488,42,326,2597,1199,445,342,622,48,227
Tricholoma_terreum_1,0,0,0,0,0,22218,18,0,97,239,7872,3815,361,1350,0,0,0,0,0,0,0,10,0,42,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linnemannia_1,0,0,0,0,0,0,74,0,0,32,53,24,42,3,0,0,199,0,0,0,0,169,892,292,449,406,9,153,33,630,302,2434,527,378,105,136,30,298,66,535,145,285,862,211,1333,2208,2,132,449,16,5,0,3,0,174,200,231,241,779,129,178,201,1008,669,24,9,92,43,1337,3759,146,0,715,0,0,3949,5550
Linnemannia_elongata_1,0,0,0,0,0,88,443,0,24,550,131,234,903,295,0,0,158,85,5,65,108,1516,23,15,128,166,375,431,1898,0,1,250,389,84,643,104,474,100,631,202,72,200,59,930,892,851,776,443,25,257,1957,399,1412,773,274,611,349,963,869,986,3746,874,46,84,189,446,434,397,0,0,1103,809,16,0,636,0,40
Penicillium_4,0,0,0,0,0,46,5754,102,17,99,3379,92,239,112,28,0,1,65,170,2482,222,84,0,0,0,0,0,3,0,101,521,86,0,8,0,0,9,189,238,11,144,1311,0,0,50,77,2421,92,0,1173,662,1400,654,396,142,29,73,975,0,0,0,49,63,4,55,423,55,6,0,0,4920,110,0,0,0,0,0
Lophotrichus_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,35,4,0,0,0,58,922,0,0,0,0,0,0,59,0,0,0,0,1256,10,0,0,2764,1,0,0,0,5,0,0,18,0,25,0,2,1263,839,294,94,0,0,354,199,2495,1040,76,85,197,1191,2170,40,0,1517,8860,15,2644,608
Mortierella.s.str_1,0,0,0,0,0,229,127,215,121,1014,524,583,957,609,0,0,151,78,31,81,84,79,154,23,0,15,87,261,82,539,211,593,0,390,204,84,63,260,225,921,958,861,5,69,1032,1511,61,209,6,564,126,123,4076,3364,1682,408,334,152,4,11,582,1205,358,37,227,148,85,62,0,1,655,468,16,188,246,29,24
Fusarium_solani_1,0,361,492,944,763,0,0,0,26,42,17,0,10,0,171,17,25,38,187,79,130,114,0,0,0,0,138,6,12,0,0,13,0,21,10,0,16,9,11,8,0,34,1282,52,2,26,0,38,0,785,4,968,240,100,115,241,368,63,1285,0,69,169,663,2411,2239,148,88,559,2187,1359,183,334,1979,1372,680,2955,962
Gibberella_1,0,0,0,0,0,27,540,239,210,100,12,447,176,52,0,0,144,0,0,0,0,2009,0,6,73,624,2669,128,1649,0,66,264,461,145,179,35,57,24,632,8,70,22,0,415,355,699,100,148,0,102,878,65,289,33,111,2639,1309,874,13,365,831,193,18,1156,4,210,1295,1292,0,1,82,895,0,0,31,0,0
Solicoccozyma_1,0,0,0,0,0,37,402,57,30,252,79,34,759,378,0,0,260,0,0,45,22,423,45,69,220,625,577,197,1364,77,245,512,1965,198,587,137,332,226,610,87,183,168,0,821,341,667,0,82,26,42,431,0,152,281,395,825,1156,270,0,437,1529,693,295,1131,114,642,227,352,0,0,574,660,0,0,706,0,0
Hygrocybe_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,0,0,0,0,0,526,0,2926,0,0,0,0,0,174,6226,1,980,1741,9,0,120,7,0,1036,806,4,5078,475,0,748,0,777,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mortierella.s.str_oligospora_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235,0,0,0,0,0,0,0,0,0,0,0,0,0,44,6,962,0,0,0,1707,114,236,37,0,0,3298,7029,52,0,730,0,98,4418,395
Penicillium_5,0,53,120,70,0,2055,27,888,754,1898,965,1606,3082,3209,1,0,15,7,11,688,0,9,10,27,0,44,22,82,0,5,0,42,25,41,9,82,113,14,0,8,73,71,0,48,483,77,1367,48,1,105,24,122,113,110,348,31,140,25,0,0,22,109,2,0,23,189,3,9,0,0,110,34,0,0,82,0,0
Chaetomium_madrasense_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,4753,0,0,1,290,0,363,78,9,72,7679,358,1120,0,389,0,3617,28,17
Russula_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,5137,4661,124,0,0,0,0,0,0,0,700,0,0,0,7172,78,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russula_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7342,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,82,0,0,119,0,14,6213,3658,583,0,0,0,0,0,0,0,107,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mortierella.s.str_alpina_1,0,0,0,0,0,142,581,0,11,185,403,29,219,195,0,0,105,0,0,0,0,599,21,10,89,468,623,201,0,0,0,71,1,21,312,57,4,1,569,25,48,213,0,687,482,965,31,107,0,54,1341,561,735,69,281,969,398,1846,5,81,554,1011,397,79,0,164,571,616,0,0,387,248,0,0,0,0,0
Alternaria_1,0,0,0,0,0,3,296,128,13,1,4,64,37,10,0,0,0,0,0,0,0,722,0,0,0,692,7176,0,0,0,0,1,0,0,0,0,1,0,31,0,0,0,1816,0,7,5,0,1,0,86,0,60,13,1,15,21,62,8,1934,0,5,39,1604,1764,280,179,48,205,11,172,72,0,85,0,29,41,11
Wilcoxina_rehmii_1,0,0,0,0,0,1763,2590,1268,0,53,1797,501,322,564,0,0,246,0,0,0,0,0,336,994,1042,167,0,66,0,0,343,0,0,241,0,368,86,89,2,3,0,0,0,0,2497,0,633,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penicillium_steckii_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3663,0,0,590,6469,2173,3061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Mortierella.s.str_indohii_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3205,0,0,0,0,0,0,32,0,0,0,0,162,0,0,14,121,0,0,0,0,0,0,0,0,0,0,0,0,34,165,146,315,0,0,34,0,12,14,22,11,374,3276,1698,8,0,706,0,0,4925,601
Piloderma_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1635,3299,6766,0,0,0,0,0,2762,0,0,166,0,1000,0,0,9,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tricholoma_1,0,0,0,0,0,3226,16,0,292,5808,1518,1806,1429,749,0,0,0,0,0,0,0,0,0,5,10,113,0,40,0,0,0,0,0,326,0,19,0,7,27,0,0,0,0,0,205,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sordariales_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,14,0,0,0,0,15,0,0,0,0,0,0,54,0,0,0,0,604,0,0,0,168,0,0,0,0,0,0,90,97,228,0,20,0,941,690,377,988,0,0,966,3018,1944,0,6,238,164,25,1300,52,320,1388,0,0,353,1368
Aspergillus_2,0,0,0,0,0,25,4,0,0,0,18,248,0,0,360,425,0,248,383,19,12121,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,88,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,3,0,0,0,0,6,0,0,4,842,0,0,0,238,0,0
Rhizopogon_1,0,0,0,0,0,1526,7,3257,890,2157,715,1438,1800,1908,0,0,0,0,0,0,0,0,29,0,159,961,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,66,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
