OTU,NEF_NEBEDIV_CSG61_2025,NEF_NEBEDIV_CSG62_2025,NEF_NEBEDIV_CSG63_2025,NEF_NEBEDIV_CSG64_2025,NEF_NEBEDIV_CSG65_2025,NEF_NEBEDIV_CSG66_2025,NEF_NEBEDIV_LAU1_2025,NEF_NEBEDIV_LAU3_2025,NEF_NEBEDIV_LAU4_2025,NEF_NEBEDIV_LAU6_2025,NEF_NEBEDIV_LAU7_2025,NEF_NEBEDIV_LAU8_2025,NEF_NEBEDIV_NR31_2025,NEF_NEBEDIV_NR32_2025,NEF_NEBEDIV_NR34_2025,NEF_NEBEDIV_NR35_2025,NEF_NEBEDIV_NR37_2025,NEF_NEBEDIV_NR38_2025,NEF_NEBEDIV_NR39_2025,NEF_NEBEDIV_RG11_2025,NEF_NEBEDIV_RG14_2025,NEF_NEBEDIV_RG15_2025,NEF_NEBEDIV_RG16_2025,NEF_NEBEDIV_RG17_2025,NEF_NEBEDIV_RG18_2025,NEF_NEBEDIV_TRI41_2025,NEF_NEBEDIV_TRI42_2025,NEF_NEBEDIV_TRI43_2025,NEF_NEBEDIV_TRI45_2025,NEF_NEBEDIV_TRI48_2025
OTU_03416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
OTU_03417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0
OTU_03418,23,8,3,0,1,15,13,17,11,12,0,3,1,2,3,3,3,2,0,0,7,1,6,19,2,0,4,41,8,0
OTU_03419,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03422,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0
OTU_03423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,13,2,0,0,0,0,0
OTU_03424,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU_03425,2,0,1,0,5,23,2,20,4,3,6,0,0,6,17,2,14,8,27,13,100,12,286,7,49,0,7,1,1,0
OTU_03427,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
OTU_03428,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_03429,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0
OTU_03430,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
OTU_03431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
OTU_03432,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
OTU_03433,0,1,24,17,0,0,0,0,0,0,0,0,11,3,0,0,0,16,0,0,0,0,1,2,0,0,0,0,0,0
OTU_03437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
OTU_03440,0,1,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03441,0,8,0,16,6,5,39,8,3,109,240,78,0,6,6,0,2,0,25,0,17,4,104,5,89,0,0,1,6,0
OTU_03442,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03443,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
OTU_03444,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
OTU_03445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU_03448,0,0,0,8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU_03449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,5,4,0,4,0,0,0,0,0
OTU_03450,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03451,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,21,0,0,0,0,2,10,0,0,0,0,5,0
OTU_03452,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03453,1,1,0,1,2,5,4,0,5,0,0,1,0,7,1,1,0,0,0,0,2,0,10,1,19,0,0,0,0,0
OTU_03454,4,0,0,0,0,0,0,0,0,0,0,6,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0
OTU_03455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU_03457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OTU_03459,0,0,0,0,0,5,2,0,0,0,0,0,0,0,6,0,0,0,37,0,0,0,1,0,0,0,0,0,0,0
OTU_03461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0
OTU_03462,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU_03464,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
OTU_03465,17,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
OTU_03466,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,3,1,1,0,0,0,0,0
OTU_03468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
OTU_03469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03470,7,0,0,1,0,4,0,1,0,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03473,0,5,0,0,0,5,24,24,0,10,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0
OTU_03475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
OTU_03476,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0
OTU_03477,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03478,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
OTU_03482,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03483,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03484,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,2,0,0,9,1,3,0,0,0,0,0,3,0
OTU_03485,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,3,0,0,0,0,0,0,0,0
