OTU,MXA_G5134,MXA_G5135,MXA_G5136,MXA_G5137,MXA_G5138,MXA_G5139,MXA_MX10,MXA_MX11,MXA_MX12,MXA_MX13,MXA_MX14,MXA_MX15,MXA_MX16,MXA_MX17,MXA_MX18,MXA_MX19,MXA_MX1a,MXA_MX20,MXA_MX21,MXA_MX22,MXA_MX23,MXA_MX24,MXA_MX25,MXA_MX26,MXA_MX27,MXA_MX28,MXA_MX29,MXA_MX2b,MXA_MX3,MXA_MX30,MXA_MX31,MXA_MX32,MXA_MX33,MXA_MX34,MXA_MX35,MXA_MX36,MXA_MX4,MXA_MX5,MXA_MX7,MXA_MX8,MXA_MX9,MXA_S036,MXA_S163,MXA_S164,MXA_S165,MXA_S529,MXA_S530,MXA_S531,MXA_S532,MXA_S657,MXA_S658,MXA_S659,MXA_S660,MXA_S661,MXA_S662,MXA_S663,MXA_S664,MXA_S665,MXA_S666,MXA_S907,MXA_S908N,MXA_S909,MXA_S910N,MXA_S911,MXA_S912,MXA_S913,MXA_S914,MXA_S915,MXA_S916,MXA_S917,MXA_S918,MXA_S919,MXA_S920
Aphelidiomycota_sp_20_b66686413e37acbd851c2ac092c0a1c9722da440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphelidiomycota_sp_9_c3a29ab7a20cac41edffa5f54557371f2e5349e7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphelidiomycota_sp_10_c46136886acb6bd1d4f5473e88bd0f2add438fcd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphelidiomycota_sp_21_c9411eb815b4e11fa893213cf1449b32d8c5c754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphelidiomycota_sp_11_cb24979fdf091b3dfc9b5c09de4039be57dab8c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphelidiomycota_sp_12_dc6ab33e29a4ca37c40855a318d5042505cdd889,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphelidiomycota_sp_13_df8047f00f24e0da49adb123fce03f60e16d5bfa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphelidiomycota_sp_14_e114560af1de85ffc1298e478f3eb502b9f3f083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GS16_sp_1_02d79526ab598960675d2034e0ea1db0e229c5a1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GS16_sp_11_15bfbd6543bdea403d947ea219176f030a7f25eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GS16_sp_2_24dba7ed72fbc3a5e77883c9d622bafb10373249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GS16_sp_12_24fbf3c83c16b4b5599106fe23c49c459eb800d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
GS16_sp_19_2ef27dd77a2c2779ceb9e228d0f6639d780d0b7c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GS16_sp_3_41cfd3d8d42704f02e6c938997f0aae6bf040c07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
GS16_sp_4_4f711e78545321d3f018f26aef8845707c1aecf7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
